0,1,2,3,4,5,6,7,8,9,10,11,12,13
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Murder (Sec.302 IPC),,,"Culpable Homicide not
amounting to Murder
(Sec.304 IPC)",,,Causing Death by Negligence,,,,,
,,,,,,,,"Causing Death by Negligence
(Sec.304-A IPC) (Total)",,,,,
17 Meghalaya 0 0 0.0 1 1 0.0 0 0 0.0,,,,,,,,,,,,,
18 Mizoram 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
19 Nagaland 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
20 Odisha 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
21 Punjab 0 0 0.0 4 4 0.0 2 2 0.0,,,,,,,,,,,,,
22 Rajasthan 0 0 0.0 13 13 0.0 0 0 0.0,,,,,,,,,,,,,
23 Sikkim 0 0 0.0 0 0 0.0 2 2 0.3,,,,,,,,,,,,,
24 Tamil Nadu 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
25 Telangana 0 0 0.0 19 19 0.1 0 0 0.0,,,,,,,,,,,,,
26 Tripura 0 0 0.0 1 1 0.0 0 0 0.0,,,,,,,,,,,,,
27 Uttar Pradesh 0 0 0.0 23 23 0.0 5 5 0.0,,,,,,,,,,,,,
28 Uttarakhand 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
29 West Bengal 0 0 0.0 17 17 0.0 0 0 0.0,,,,,,,,,,,,,
TOTAL STATE(S) 35 41 0.0 217 218 0.0 36 37 0.0,,,,,,,,,,,,,
UNION TERRITORIES:,,,,,,,,,,,,,
30 A&N Islands 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
31 Chandigarh 0 0 0.0 0 0 0.0 3 3 0.3,,,,,,,,,,,,,
32 D&N Haveli 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
33 Daman & Diu 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
34 Delhi 0 0 0.0 1 1 0.0 1 1 0.0,,,,,,,,,,,,,
35 Lakshadweep 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
36 Puducherry 0 0 0.0 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
"TOTAL UT(S) 0 0 0.0 1 1 0.0 4 4 0.0
TOTAL ALL INDIA 35 41 0.0 218 219 0.0 40 41 0.0",,,,,,,,,,,,,
"S.
No",State/UT,Offences affecting the Human Body,,,,,,,,,,,
,,Causing Death by Negligence,,,Dowry Deaths (Sec.304-B IPC),,,"Abetment of Suicide
(Sec.305/306 IPC)",,,,,
,,Deaths due to other Negligence,,,,,,,,,,,
,,I,V,R,I,V,R,I,V,R,,,
1,2,30,31,32,33,34,35,36,37,38,,,
STATES:,,,,,,,,,,,,,
1 Andhra Pradesh 295 342 0.6 140 140 0.5 519 590 1.0,,,,,,,,,,,,,
2 Arunachal Pradesh 28 34 1.9 0 0 0.0 4 6 0.3,,,,,,,,,,,,,
3 Assam 546 623 1.6 173 176 1.0 130 141 0.4,,,,,,,,,,,,,
4 Bihar 132 136 0.1 1107 1111 2.0 32 33 0.0,,,,,,,,,,,,,
5 Chhattisgarh 441 441 1.5 79 79 0.6 152 174 0.5,,,,,,,,,,,,,
6 Goa 15 16 1.0 0 0 0.0 3 3 0.2,,,,,,,,,,,,,
7 Gujarat 132 183 0.2 9 9 0.0 562 580 0.8,,,,,,,,,,,,,
8 Haryana 219 219 0.8 216 216 1.6 562 723 2.0,,,,,,,,,,,,,
9 Himachal Pradesh 44 50 0.6 4 4 0.1 90 115 1.2,,,,,,,,,,,,,
10 Jammu & Kashmir 37 37 0.3 8 8 0.1 36 39 0.3,,,,,,,,,,,,,
11 Jharkhand 324 324 0.9 252 266 1.4 68 87 0.2,,,,,,,,,,,,,
12 Karnataka 393 539 0.6 200 202 0.6 595 643 0.9,,,,,,,,,,,,,
13 Kerala 63 96 0.2 17 17 0.1 62 68 0.2,,,,,,,,,,,,,
14 Madhya Pradesh 697 761 0.9 547 547 1.4 849 884 1.0,,,,,,,,,,,,,
15 Maharashtra 475 506 0.4 200 205 0.3 1418 1496 1.2,,,,,,,,,,,,,
16 Manipur 2 2 0.1 0 0 0.0 6 9 0.2,,,,,,,,,,,,,
17 Meghalaya 41 57 1.3 1 1 0.1 1 1 0.0,,,,,,,,,,,,,
18 Mizoram 8 12 0.7 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
19 Nagaland 14 21 0.7 0 0 0.0 0 0 0.0,,,,,,,,,,,,,
20 Odisha 20 20 0.0 372 373 1.7 19 19 0.0,,,,,,,,,,,,,
21 Punjab 46 47 0.2 67 67 0.5 537 565 1.8,,,,,,,,,,,,,
22 Rajasthan 643 648 0.8 404 405 1.1 215 235 0.3,,,,,,,,,,,,,
23 Sikkim 6 6 0.9 1 1 0.3 2 2 0.3,,,,,,,,,,,,,
24 Tamil Nadu 270 280 0.4 55 55 0.1 307 337 0.4,,,,,,,,,,,,,
25 Telangana 363 379 1.0 186 186 1.0 641 667 1.7,,,,,,,,,,,,,
26 Tripura 12 12 0.3 18 18 0.9 15 21 0.4,,,,,,,,,,,,,
